latitude_bin,time,pH,year
30,6.0,8.05571905899252,2013
30,7.0,8.046114631835826,2013
30,8.0,8.041933196962969,2013
30,9.0,8.0448701187535,2013
30,10.0,8.055101657166997,2013
30,11.0,8.068490100621176,2013
30,12.0,8.082631143518514,2013
40,1.0,8.10001096440812,2013
40,2.0,8.099339688624235,2013
40,3.0,8.101120149084311,2013
40,4.0,8.101306532497444,2013
40,5.0,8.091669093445496,2013
40,6.0,8.06965872406797,2013
40,7.0,8.043237346418813,2013
40,8.0,8.029744317485227,2013
40,9.0,8.040952319917889,2013
40,10.0,8.064761941377833,2013
40,11.0,8.086468728368414,2013
40,12.0,8.098875677946417,2013
50,1.0,8.06690262950921,2013
50,2.0,8.061056437232798,2013
50,3.0,8.062857731917898,2013
50,4.0,8.07401815161628,2013
50,5.0,8.085617049580902,2013
50,6.0,8.087866919710349,2013
50,7.0,8.07378052432156,2013
50,8.0,8.064518351679263,2013
50,9.0,8.073649672349594,2013
50,10.0,8.085692706704204,2013
50,11.0,8.08638164956448,2013
50,12.0,8.080758021673777,2013
60,1.0,8.055025574847175,2013
60,2.0,8.06015413586043,2013
60,3.0,8.060584835340048,2013
60,4.0,8.072927938361092,2013
60,5.0,8.10221683812392,2013
60,6.0,8.115540900411307,2013
60,7.0,8.122595353136791,2013
60,8.0,8.118820081278177,2013
60,9.0,8.114347420659934,2013
60,10.0,8.096068368583696,2013
60,11.0,8.073690217775415,2013
60,12.0,8.061949754951984,2013
70,1.0,8.08047080012648,2013
70,2.0,8.084543467560383,2013
70,3.0,8.084569460845861,2013
70,4.0,8.09465515113772,2013
70,5.0,8.12762520894597,2013
70,6.0,8.154579496598872,2013
70,7.0,8.157007868246128,2013
70,8.0,8.144599144958049,2013
70,9.0,8.132844130629989,2013
70,10.0,8.113418972460593,2013
70,11.0,8.092868044625913,2013
70,12.0,8.08249813089942,2013
80,1.0,8.084606989921983,2013
80,2.0,8.087405527925661,2013
80,3.0,8.088585406710118,2013
80,4.0,8.095689909805248,2013
80,5.0,8.124438575157544,2013
80,6.0,8.145422955911439,2013
80,7.0,8.141147418014011,2013
80,8.0,8.130678021339842,2013
80,9.0,8.120194561049292,2013
80,10.0,8.108331508799266,2013
80,11.0,8.104017412016898,2013
80,12.0,8.102510059249239,2013
-80,1.0,,2014
-80,2.0,,2014
-80,3.0,,2014
-80,4.0,,2014
-80,5.0,,2014
-80,6.0,,2014
-80,7.0,,2014
-80,8.0,,2014
-80,9.0,,2014
-80,10.0,,2014
-80,11.0,,2014
-80,12.0,,2014
-70,1.0,8.090661935115062,2014
-70,2.0,8.093610259034925,2014
-70,3.0,8.07324870152916,2014
-70,4.0,8.054040522328489,2014
-70,5.0,8.05094765596909,2014
-70,6.0,8.050428865792965,2014
-70,7.0,8.051744472133782,2014
-70,8.0,8.050673252128126,2014
-70,9.0,8.050497059664105,2014
-70,10.0,8.048938751540879,2014
